time:1.31763,vol:0
time:1.42703,vol:25.525
time:1.53843,vol:25.587
time:1.68619,vol:25.592
time:1.84023,vol:25.598
time:1.93888,vol:25.61
time:2.08596,vol:25.622
time:2.23601,vol:25.633
time:2.33885,vol:25.646
time:2.48709,vol:25.662
time:2.58846,vol:25.668
time:2.74028,vol:25.769
time:2.8581,vol:25.851
time:2.98744,vol:25.885
time:3.14059,vol:25.972
time:3.28598,vol:25.976
time:3.38787,vol:26.04
time:3.48653,vol:26.044
time:3.63649,vol:26.045
time:3.74639,vol:26.045
time:3.88742,vol:26.47
time:4.03631,vol:27.505
time:4.1378,vol:28.461
time:4.28762,vol:29.197
time:4.3869,vol:30.065
time:4.53764,vol:31.434
time:4.6864,vol:32.279
time:4.83707,vol:32.955
time:4.93992,vol:33.841
time:5.08883,vol:34.795
time:5.23669,vol:36.884
time:5.41297,vol:39.735
time:5.53826,vol:50.082
time:5.68662,vol:56.246
time:5.85544,vol:61.284
time:5.96661,vol:70.121
time:6.20016,vol:75.467
time:6.31783,vol:78.914
time:6.54244,vol:79.928
time:6.68097,vol:80.109
time:6.88585,vol:80.2
time:7.0168,vol:80.546
time:7.1173,vol:80.8
time:7.22084,vol:81.132
time:7.36686,vol:81.467
time:7.4709,vol:81.828
time:7.62082,vol:82.184
time:7.76687,vol:82.689
time:7.87317,vol:84.06
time:8.06907,vol:85.002
time:8.21684,vol:85.749
time:8.36668,vol:86.428
time:8.47485,vol:87.145
time:8.61696,vol:90.354
time:8.71734,vol:90.455
time:8.87952,vol:91.168
time:9.0168,vol:91.733
time:9.1357,vol:92.164
time:9.27366,vol:92.414
time:9.41676,vol:92.469
time:9.56765,vol:92.518
time:9.7527,vol:92.53
time:9.86304,vol:93.326
time:10.0137,vol:99.318
time:10.1634,vol:105.064
time:10.2639,vol:108.028
time:10.3763,vol:108.028
time:10.5126,vol:109.125
time:10.7109,vol:109.74
time:10.8132,vol:110.501
time:10.9139,vol:110.648
time:11.0128,vol:110.988
time:11.1632,vol:111.557
time:11.2675,vol:112.098
time:11.4814,vol:112.837
time:11.6132,vol:113.394
time:11.7137,vol:113.403
time:11.8544,vol:113.67
time:11.9632,vol:115.016
time:12.0683,vol:116.26
time:12.2036,vol:118.138
time:12.3146,vol:121.83
time:12.4139,vol:125.779
time:12.5666,vol:127.443
