time:35.5223,vol:26.438
time:35.6692,vol:26.563
time:35.7727,vol:27.307
time:35.9191,vol:27.928
time:36.069,vol:29.055
time:36.1767,vol:30.663
time:36.3213,vol:31.477
time:36.4206,vol:31.817
time:36.5758,vol:33.008
time:36.7204,vol:33.273
time:36.8709,vol:33.37
time:36.9743,vol:33.399
time:37.1198,vol:33.433
time:37.221,vol:33.467
time:37.3754,vol:33.595
time:37.5207,vol:33.664
time:37.6202,vol:33.713
time:37.7193,vol:33.805
time:37.87,vol:33.887
time:37.9757,vol:33.969
time:38.1204,vol:34.037
time:38.2222,vol:34.075
time:38.3203,vol:34.119
time:38.4698,vol:34.138
time:38.5754,vol:34.144
time:38.7204,vol:34.171
time:38.8199,vol:34.178
time:38.9743,vol:34.239
time:39.1211,vol:34.279
time:39.2695,vol:34.354
time:39.3742,vol:34.415
time:39.5201,vol:35.165
time:39.6701,vol:37.229
time:39.774,vol:39.73
time:39.9203,vol:41.606
time:40.0705,vol:44.788
time:40.176,vol:48.841
time:40.3191,vol:51.868
time:40.4229,vol:52.038
time:40.5811,vol:54.607
time:40.7209,vol:57.126
time:40.8212,vol:57.282
time:40.9194,vol:59.891
time:41.0209,vol:61.003
time:41.1772,vol:63.491
time:41.3207,vol:65.792
time:41.4702,vol:67.446
time:41.5781,vol:69.76
time:41.7193,vol:71.7
time:41.8698,vol:73.397
time:41.9751,vol:74.901
time:42.1203,vol:75.73
time:42.2229,vol:76.431
time:42.3747,vol:78.241
time:42.5194,vol:80.081
time:42.6213,vol:80.275
time:42.7752,vol:80.893
time:42.9214,vol:81.377
time:43.0207,vol:81.645
time:43.1736,vol:82.187
time:43.3192,vol:82.287
time:43.4201,vol:82.368
time:43.5217,vol:82.501
time:43.6688,vol:82.967
time:43.7724,vol:83.669
time:43.9197,vol:84.14
time:44.0699,vol:84.663
time:44.1752,vol:85.09
time:44.3203,vol:85.503
time:44.4692,vol:85.923
time:44.5749,vol:86.648
time:44.7225,vol:87.007
time:44.8702,vol:87.721
time:44.9797,vol:87.878
time:45.1197,vol:87.956
time:45.2206,vol:88.013
time:45.3227,vol:88.07
time:45.4699,vol:88.133
time:45.5799,vol:88.207
time:45.7217,vol:88.261
time:45.8215,vol:88.284
time:45.9362,vol:88.314
time:46.0699,vol:88.356
time:46.1777,vol:88.45
time:46.3199,vol:88.604
time:46.4711,vol:88.969
time:46.58,vol:89.136
time:46.7205,vol:89.312
time:46.8203,vol:89.387
time:46.9206,vol:89.605
time:47.0701,vol:89.823
time:47.1764,vol:90.101
time:47.3192,vol:90.666
time:47.4226,vol:90.994
time:47.5748,vol:91.822
time:47.7207,vol:92.279
time:47.822,vol:92.835
time:47.9747,vol:94.272
time:48.1204,vol:95.646
time:48.2195,vol:95.804
time:48.3191,vol:97.016
time:48.4694,vol:98.118
time:48.5737,vol:99.396
time:48.7199,vol:100.88
time:48.8705,vol:102.762
time:48.9817,vol:104.197
time:49.1202,vol:105.313
time:49.2223,vol:106.227
time:49.3769,vol:108.305
time:49.5216,vol:109.741
time:49.6707,vol:111.089
time:49.7765,vol:112.985
time:49.9201,vol:114.239
time:50.0696,vol:115.963
time:50.1751,vol:117.921
time:50.3206,vol:119.835
time:50.4704,vol:121.148
time:50.5746,vol:123.241
time:50.7201,vol:124.922
time:50.8212,vol:125.408
time:50.924,vol:126.39
time:51.0695,vol:127.551
time:51.1756,vol:128.565
time:51.3196,vol:129.231
time:51.47,vol:130.944
time:51.5763,vol:135.296
time:51.7215,vol:136.752
time:51.8206,vol:137.713
time:51.9801,vol:140.676
time:52.1202,vol:142.075
time:52.2203,vol:142.764
time:52.3756,vol:147.018
time:52.5204,vol:148.436
time:52.6205,vol:148.754
time:52.7196,vol:149.354
time:52.8198,vol:149.433
time:52.975,vol:149.543
time:53.1201,vol:149.604
time:53.2213,vol:149.627
time:53.3196,vol:149.714
time:53.4206,vol:149.789
time:53.5739,vol:149.856
time:53.7196,vol:149.994
time:53.8708,vol:150.201
time:53.9742,vol:150.407
time:54.1209,vol:150.544
time:54.2693,vol:150.589
time:54.3748,vol:150.646
time:54.52,vol:150.688
time:54.6721,vol:150.834
time:54.7783,vol:151.228
time:54.9211,vol:152.324
time:55.0207,vol:153.293
time:55.121,vol:154.465
time:55.2713,vol:155.058
time:55.3795,vol:155.328
time:55.5202,vol:155.546
time:55.623,vol:155.569
time:55.7748,vol:155.591
time:55.9202,vol:155.639
time:56.0707,vol:155.93
time:56.179,vol:156.389
time:56.3203,vol:156.83
time:56.4704,vol:157.533
time:56.5757,vol:158.421
time:56.7201,vol:159.708
time:56.8201,vol:160.253
time:56.9759,vol:164.217
time:57.1202,vol:167.14
time:57.2695,vol:170.274
time:57.3798,vol:171.788
time:57.5198,vol:172.098
time:57.6713,vol:172.52
time:57.7763,vol:172.997
time:57.9193,vol:173.523
time:58.0217,vol:173.915
time:58.121,vol:174.563
time:58.2212,vol:174.921
time:58.3801,vol:175.933
time:58.5203,vol:177.041
time:58.6712,vol:178.022
time:58.7758,vol:178.712
time:58.9206,vol:179.969
time:59.02,vol:180.349
time:59.1785,vol:182.435
time:59.32,vol:183.453
